"recorder_id","start_seg","end_seg","species_1","probability_1","species_2","probability_2","species_3","probability_3"
"588889971_18.wav","0","3","Cretzschmars_Bunting_Emberiza_caesia","0.9999865293502808","Common_Chaffinch_Fringilla_coelebs","0.00016849588428158313","Ortolan_Bunting_Emberiza_hortulana","0.00011352683213772252"
"588889971_27.wav","0","3","Cretzschmars_Bunting_Emberiza_caesia","0.9996566772460938","White_Wagtail_Motacilla_alba","0.0011592302471399307","European_Bee-eater_Merops_apiaster","0.0011147058103233576"
"588889971_30.wav","0","3","Cretzschmars_Bunting_Emberiza_caesia","0.9999445676803589","European_Bee-eater_Merops_apiaster","0.00019540174980647862","Common_Linnet_Linaria_cannabina","6.385744927683845e-05"
"618761536_1.wav","0","3","Nothing","0.9970820546150208","Corn_Bunting_Emberiza_calandra","0.004113973118364811","White_Wagtail_Motacilla_alba","0.0007109535508789122"
"619981059_1.wav","0","3","Nothing","0.9609056115150452","Eurasian_Golden_Oriole","0.007461864966899157","Anthropogenic","0.0028624252881854773"
"nothing_agmon_apr_1.wav","0","3","Nothing","0.9949912428855896","Common_Chaffinch_Fringilla_coelebs","0.002374089788645506","Anuran","0.0010289772180840373"
"nothing_agmon_apr_2.wav","0","3","Nothing","0.9993810653686523","Common_Chaffinch_Fringilla_coelebs","0.003896786132827401","Anuran","0.0007429788820445538"
"nothing_agmon_apr_8.wav","0","3","Nothing","0.9962355494499207","Common_Chaffinch_Fringilla_coelebs","0.005651289597153664","Jackal","0.0038402939680963755"
"S4A14431_20240929_232202_90_european_bee-eater_merops_apiaster.wav","0","3","European_Bee-eater_Merops_apiaster","0.9792714715003967","Nothing","0.013327404856681824","Bimaculatad_Lark_Melanocorypha_bimaculata","0.002711259527131915"
"S4A14431_20240930_005202_1350_european_bee-eater_merops_apiaster.wav","0","3","European_Bee-eater_Merops_apiaster","0.9958024621009827","Nothing","0.002842870308086276","Common_Chaffinch_Fringilla_coelebs","0.0010171890025958419"
"S4A15037_20240405_190003_1350_corn_bunting_emberiza_calandra.wav","0","3","Cretzschmars_Bunting_Emberiza_caesia","0.9646893739700317","Ortolan_Bunting_Emberiza_hortulana","0.18812242150306702","Bimaculatad_Lark_Melanocorypha_bimaculata","0.0037274628411978483"
"S4A15037_20240410_053305_237_tree_pipit_anthus_trivialis.wav","0","3","Tree_Pipit_Anthus_trivialis","0.9739195704460144","Olive-backed_Pipit_Anthus_hodgsoni","0.012766361236572266","Red-throated_Pipit_Anthus cervinus","0.0007860084879212081"
"S4A15037_20240410_053305_786_tree_pipit_anthus_trivialis.wav","0","3","Tree_Pipit_Anthus_trivialis","0.9065992832183838","Nothing","0.01115742139518261","Western_Yellow_Wagtail_Motacilla_flava","0.001027535181492567"
"S4A15037_20240418_002202_549_cretzschmars_bunting_emberiza caesia.wav","0","3","Cretzschmars_Bunting_Emberiza_caesia","0.9884675145149231","Ortolan_Bunting_Emberiza_hortulana","0.10675070434808731","Spotted_Flycatcher_Muscicapa_striata","0.007161768153309822"
"XC171575 - Cretzschmar's Bunting - Emberiza caesia_4.wav","0","3","Cretzschmars_Bunting_Emberiza_caesia","0.9317761063575745","Ortolan_Bunting_Emberiza_hortulana","0.2547950744628906","White_Wagtail_Motacilla_alba","0.0019541028887033463"
"XC495517 - Tree Pipit - Anthus trivialis_0.wav","0","3","Tree_Pipit_Anthus_trivialis","0.9737739562988281","Olive-backed_Pipit_Anthus_hodgsoni","0.0019830367527902126","Water_Pipit_Anthus_spinoletta","0.001676062005572021"
"XC495849 - Tree Pipit - Anthus trivialis_0.wav","0","3","Tree_Pipit_Anthus_trivialis","0.9998169541358948","Common_Blackbird_Turdus_merula","0.001002889359369874","Common_Linnet_Linaria_cannabina","0.00016630736354272813"
"XC632823 - Tree Pipit - Anthus trivialis_2.wav","0","3","Tree_Pipit_Anthus_trivialis","0.9963793158531189","Anthropogenic","0.003115914762020111","Anuran","0.00021783375996164978"
"XC746185 - European Bee-eater - Merops apiaster_0.wav","0","3","European_Bee-eater_Merops_apiaster","0.8054872155189514","Nothing","0.01368518266826868","Anuran","0.0008373663295060396"
"XC746430 - European Bee-eater - Merops apiaster_15.wav","0","3","European_Bee-eater_Merops_apiaster","0.9955511093139648","Water_Pipit_Anthus_spinoletta","0.0019231300102546811","White_Wagtail_Motacilla_alba","0.001691472833044827"
"XC770369 - European Bee-eater - Merops apiaster_21.wav","0","3","European_Bee-eater_Merops_apiaster","0.9860839247703552","Nothing","0.0013511510333046317","Olive-backed_Pipit_Anthus_hodgsoni","0.0006886195624247193"
"XC806651 - European Bee-eater - Merops apiaster_8.wav","0","3","European_Bee-eater_Merops_apiaster","0.9750745296478271","Nothing","0.011382059194147587","Common_Chaffinch_Fringilla_coelebs","0.0022792662493884563"
"XC810577 - European Bee-eater - Merops apiaster_19.wav","0","3","European_Bee-eater_Merops_apiaster","0.9839723110198975","Brambling_Fringilla_montifringilla","0.009713497012853622","White_Wagtail_Motacilla_alba","0.0059584048576653"
"XC815201 - European Bee-eater - Merops apiaster_6.wav","0","3","European_Bee-eater_Merops_apiaster","0.9914816617965698","Nothing","0.0065487041138112545","Barn_Swallow_Hirundo_rustica","0.004528721794486046"
"XC815201 - European Bee-eater - Merops apiaster_8.wav","0","3","European_Bee-eater_Merops_apiaster","0.9959734082221985","Nothing","0.002800093265250325","Barn_Swallow_Hirundo_rustica","0.0010942390654236078"
"XC822611 - European Bee-eater - Merops apiaster_10.wav","0","3","European_Bee-eater_Merops_apiaster","0.9894062876701355","Anuran","0.002580787753686309","White_Wagtail_Motacilla_alba","0.0009042739984579384"
"XC822611 - European Bee-eater - Merops apiaster_7.wav","0","3","European_Bee-eater_Merops_apiaster","0.9977383613586426","Anuran","0.006284003611654043","Nothing","0.0035590368788689375"
