recorder_id,start_seg,end_seg,species_1,probability_1,species_2,probability_2,species_3,probability_3
barn_swallow_hirundo_rustica,0,3,Barn_Swallow_Hirundo_rustica,0.99544549,Tawny_Pipit_Anthus_campestris,0.007550682,Nothing,0.000329515
barn_swallow_hirundo_rustica,0,3,Barn_Swallow_Hirundo_rustica,0.697353542,Tawny_Pipit_Anthus_campestris,0.366571784,Nothing,0.017035645
barn_swallow_hirundo_rustica,0,3,Barn_Swallow_Hirundo_rustica,0.998247385,Tawny_Pipit_Anthus_campestris,0.058113858,Nothing,0.000153747
barn_swallow_hirundo_rustica,0,3,Barn_Swallow_Hirundo_rustica,0.898671985,Background_birds,0.000453678,Tawny_Pipit_Anthus_campestris,0.000321155
barn_swallow_hirundo_rustica,0,3,Barn_Swallow_Hirundo_rustica,0.992862403,Tawny_Pipit_Anthus_campestris,0.000387754,Short-toed_Lark_Calandrella_brachydactyla,0.000249169
barn_swallow_hirundo_rustica,0,3,Barn_Swallow_Hirundo_rustica,0.292683512,Nothing,0.012668904,Background_birds,0.002512785
barn_swallow_hirundo_rustica,0,3,Barn_Swallow_Hirundo_rustica,0.164304391,Nothing,0.147396654,Anthropogenic,0.050830245
barn_swallow_hirundo_rustica,0,3,Nothing,0.97678113,Barn_Swallow_Hirundo_rustica,0.190750852,Tawny_Pipit_Anthus_campestris,0.001785295
barn_swallow_hirundo_rustica,0,3,Nothing,0.97678113,Barn_Swallow_Hirundo_rustica,0.190750852,Tawny_Pipit_Anthus_campestris,0.001785295
barn_swallow_hirundo_rustica,0,3,Nothing,0.381400436,Barn_Swallow_Hirundo_rustica,0.142696828,Tawny_Pipit_Anthus_campestris,0.005656483
black-crowned_night_heron_nycticorax_nycticorax,0,3,Anthropogenic,0.368273646,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.11637301,Background_birds,0.01843599
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.634114385,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.262153178,Nothing,0.010316418
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.559025943,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.117003471,Nothing,0.019965556
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.670885742,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.635972679,Nothing,0.001621789
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.141830206,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.10824766,European_Bee-eater_Merops_apiaster,0.010127878
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.52667731,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.322712988,Nothing,0.042561214
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.570543587,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.368772775,European_Bee-eater_Merops_apiaster,0.007050246
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.350847423,Nothing,0.250754118,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.148278579
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.228779092,Nothing,0.03380416,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.02235068
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.515834033,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.079909518,Grey_Heron_Ardea_cinerea,0.056894932
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.934291601,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.925357401,Nothing,0.002895311
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.808247387,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.660979152,Nothing,0.015592794
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.593689442,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.014077064,Nothing,0.005204625
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.67834419,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.451153129,Nothing,0.00748158
black-crowned_night_heron_nycticorax_nycticorax,0,3,Background_birds,0.831860781,Black-crowned_Night_Heron_Nycticorax_nycticorax,0.775994301,Nothing,0.002619124
